fileName,var,clause,type,BOBSS2,ansBB5,BOBSS3,BOBSS0,BOBSS1,BOBSS,BOBSS2_best,ansBB5_best,BOBSS3_best,BOBSS0_best,BOBSS1_best,BOBSS_best
1c0e7059-24cc-4eca-ad88-03b69b7bd79d.cnf,15,20,hign,0.7576277023027652,0.9234503186944938,0.8083120455559363,0.7120591577557719,0.9357409414146979,1.0,0.8705005446184803,1.0,1.0,0.7673768082465434,1.0,1.0
031d13c9-0d96-4c26-acab-dc31a11d8753.cnf,13,17,bino,0.7526831513843852,0.7526831513843852,0.8285801281775305,0.7968417912196456,0.8449578921435673,0.8563121998353103,0.7847919655667145,0.7847919655667145,0.92663172939495,0.8105928649764531,0.9081779053084649,0.890961262553802
031d13c9-0d96-4c26-acab-dc31a11d8753.cnf,13,17,normal,0.7933428967621018,0.7427756649186081,0.7423149996578328,0.791609225428835,0.7656333165038279,0.8713436406397597,0.8522533874242805,0.7761287512114414,0.8977800292023004,0.8910944180820798,0.8272099345132399,0.9306622269395076
031d13c9-0d96-4c26-acab-dc31a11d8753.cnf,13,17,hign,0.9347827132036252,0.7667933587513877,0.9657251908282293,0.7667933587513877,0.9005079040318543,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134b8cd8-4091-440d-8964-2c8fd77b7a6a.cnf,16,14,bino,0.8388343153366121,0.755818566640309,0.9572373060906046,0.8448573530166786,0.7258998472667422,0.9678347430280295,0.9807112718505123,0.9134036144578314,0.9807112718505123,0.9814709560077299,0.9134036144578314,0.9883463934096846
134b8cd8-4091-440d-8964-2c8fd77b7a6a.cnf,16,14,normal,0.7790090642837448,0.7348903181159225,0.7463264285596072,0.7759902040345669,0.6725069303841091,0.8490147481316226,0.8396928666866603,0.7774792523653503,0.8134480396051218,0.822161495027622,0.7224939519385322,0.8874982833956205
134b8cd8-4091-440d-8964-2c8fd77b7a6a.cnf,16,14,hign,0.8593458327498885,0.9175515774038175,0.8684221542105329,0.7859737316143504,0.8816850131325378,1.0,1.0,1.0,1.0,0.8253827660382134,1.0,1.0
7a7bd69d-2c0a-4ba9-b26e-f495d33b14a4.cnf,17,22,bino,0.9760076874425275,0.9224245784543891,0.9411878518586869,0.9782782638581327,0.9621328440612952,0.9882727800216274,0.9913814701608458,0.9895147006730428,0.9935862103522574,0.9898782382121561,0.9936864258155034,0.9937654976974849
7a7bd69d-2c0a-4ba9-b26e-f495d33b14a4.cnf,17,22,normal,0.8734203489965161,0.8299149992191621,0.8740622607415643,0.8778166455952464,0.8438265791281152,0.9043517429419401,0.939507582768313,0.9000146483317086,0.9319409520851165,0.9021629552236667,0.9475591892401359,0.9421074053121063
7a7bd69d-2c0a-4ba9-b26e-f495d33b14a4.cnf,17,22,hign,0.9409358041274426,0.9409358041274426,0.8869209858462286,0.9409358041274426,0.8770031138740618,1.0,1.0,1.0,1.0,1.0,1.0,1.0
